Step,Agent,Horizon,Chosen_Action,Sample_Q
10,2,1,3,[18.2064458  12.8248512  20.30412458 23.91493124 20.28855944]
10,2,2,3,[17.96947294 12.47312985 20.30022714 23.51494902 20.28293254]
10,2,3,3,[17.71362932 12.33255204 20.30335621 23.44427949 20.28413999]
10,2,4,3,[17.65930671 12.18319491 20.31455882 23.37108708 20.29320746]
10,2,5,3,[17.5952544  12.13634406 20.3233123  23.40608158 20.29958857]
10,2,6,3,[17.63171202 12.08180518 20.32955412 23.43909041 20.30319442]
10,3,1,2,[43.60563746 45.49976399 38.28003298 36.82790263 49.9999841 ]
10,3,2,2,[43.3951546  45.49973963 37.98563126 36.48205481 49.99998233]
10,3,3,2,[43.16128496 45.49971278 37.79734956 36.34820476 49.99998037]
10,3,4,2,[43.12365226 45.49968316 37.59549109 36.20736242 49.99997819]
10,3,5,2,[43.0818384  45.49965052 37.60158547 36.28184861 49.99997577]
10,3,6,2,[43.14648996 45.49961453 37.60569452 36.36261091 49.99997307]
11,1,1,2,[-51.75799985  -3.75799988  -3.75797763 -31.56510283 -33.04458481]
11,1,2,2,[-51.57588161  -3.57588163  -3.57585692 -31.61030584 -33.0777278 ]
11,1,3,2,[-51.39284845  -3.39284848  -3.39282102 -31.63217207 -33.07776391]
11,1,4,2,[-51.20889583  -3.20889586  -3.20886535 -31.6395453  -33.07274695]
11,1,5,2,[-51.02401914  -3.02401918  -3.02398528 -31.62942307 -33.06095295]
11,1,6,2,[-50.83821379  -2.83821383  -2.83817616 -31.62185901 -33.05205186]
11,2,1,3,[18.33275234 12.9927495  20.37949439 23.93806829 20.35904024]
11,2,2,3,[18.10692211 12.64691269 20.38107994 23.54234148 20.35835311]
11,2,3,3,[17.86283732 12.51182512 20.38967936 23.47756339 20.36442732]
11,2,4,3,[17.82074148 12.36749219 20.40612152 23.41231567 20.3780637 ]
11,2,5,3,[17.7691662  12.32514513 20.41958847 23.45780943 20.38841312]
11,2,6,3,[17.8180802  12.27456046 20.4296605  23.50414763 20.39502122]
11,3,1,2,[43.50493266 45.49993446 38.2105665  36.68913959 49.99999596]
11,3,2,2,[43.28325899 45.49992766 37.9024879  36.33051525 49.99999551]
11,3,3,2,[43.03695496 45.49992014 37.69834776 36.18276274 49.99999501]
11,3,4,2,[42.98550609 45.49991186 37.47813336 36.02679954 49.99999446]
