Step,Agent,Horizon,Num_States,MostCommonAction,ActionDistribution,Sample_State,Sample_Q
25,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.77537778 39.68747404 30.26080155 35.71459293 30.12300509]
25,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.79251804 39.60117416 30.17856675 35.72497931 30.13706487]
25,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.80896449 39.62578944 30.19721153 35.73392146 30.15164744]
25,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.8244877  39.65184795 30.2170024  35.74110656 30.16698574]
25,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.83883099 39.6793665  30.23827045 35.74618527 30.18337429]
26,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.84027759 39.85843019 30.3936592  35.69139076 30.26684548]
26,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.74717488 39.66126521 30.21989854 35.69285618 30.07349528]
26,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.76422486 39.57234222 30.13678835 35.70387075 30.08670016]
26,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.78087526 39.59407504 30.15451483 35.71381513 30.10049573]
26,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.79695938 39.61696648 30.17331045 35.72244813 30.11510528]
26,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.81229315 39.64100572 30.1934618  35.72950287 30.13080722]
27,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.78476626 39.80338531 30.357352   35.64411209 30.23550576]
27,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69155197 39.60388934 30.18122094 35.64638067 30.03564174]
27,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70870695 39.51279692 30.09499838 35.65851662 30.04674331]
27,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.72567914 39.53258656 30.10871325 35.66991211 30.05775039]
27,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.74229391 39.55383814 30.12241835 35.68033054 30.0687417 ]
27,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.75834872 39.57663221 30.13619615 35.68950053 30.07983183]
28,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70240142 39.77609367 30.2528908  35.57927169 30.15814673]
28,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.60363475 39.56979096 30.07322952 35.57793506 29.95296266]
28,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.61546303 39.47071612 29.98351303 35.58690781 29.96392758]
